"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76656_V11_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76656_V11_3rd/outs/molecule_info.h5","76656_V11",243
"76656_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76656_V5/outs/molecule_info.h5","76656_V5",109
"76656_V5_force6500","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76656_V5_force6500/outs/molecule_info.h5","76656_V5",168
"76658_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V11/outs/molecule_info.h5","76658_V11",140
"76658_V11_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76658_V11_2nd/outs/molecule_info.h5","76658_V11",186
"76658_V11_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76658_V11_3rd/outs/molecule_info.h5","76658_V11",237
"76658_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76658_V5/outs/molecule_info.h5","76658_V5",110
"76658_V5_force10000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76658_V5_force10000/outs/molecule_info.h5","76658_V5",127
"76658_V5_2nd","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_2nd/outs/molecule_info.h5","76658_V5",142
"76658_V5_combine","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_combine/outs/molecule_info.h5","76658_V5",159
"76658_V5_combine_force12000","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_combine_force12000/outs/molecule_info.h5","76658_V5",160
"76660_V11","/media/jianie/SequencingFiles_4/20220715_Counts/76660_V11/outs/molecule_info.h5","76660_V11",178
"76660_V5","/media/jianie/SequencingFiles_3/20220620_Counts/76660_V5/outs/molecule_info.h5","76660_V5",143
"76660_V5_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76660_V5_2nd/outs/molecule_info.h5","76660_V5",191
"76660_V5_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76660_V5_3rd/outs/molecule_info.h5","76660_V5",241
"76661_V11","/media/jianie/SequencingFiles_4/20220715_Counts/76661_V11/outs/molecule_info.h5","76661_V11",179
"76661_V5","/media/jianie/SequencingFiles_3/20220620_Counts/76661_V5/outs/molecule_info.h5","76661_V5",144
"76661_V5_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76661_V5_2nd/outs/molecule_info.h5","76661_V5",192
"76661_V5_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76661_V5_3rd/outs/molecule_info.h5","76661_V5",242
"76662_V11","/media/jianie/SequencingFiles_4/20220715_Counts/76662_V11/outs/molecule_info.h5","76662_V11",180
"76662_V5","/media/jianie/SequencingFiles_4/20220715_Counts/76662_V5/outs/molecule_info.h5","76662_V5",176
"76664_V5","/media/jianie/SequencingFiles_4/20220715_Counts/76664_V5/outs/molecule_info.h5","76664_V5",177
"STARR_015_Next","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/STARR_015_Next/outs/molecule_info.h5","STARR_015",9
"STARR_015_combine_force","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force/outs/molecule_info.h5","STARR_015",28
"STARR_015_Nova","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_Nova/outs/molecule_info.h5","STARR_015",29
"STARR_015_combine_force12660","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force12660/outs/molecule_info.h5","STARR_015",230
"STARR_015_combine","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine/outs/molecule_info.h5","STARR_015",27
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016/outs/molecule_info.h5","STARR_016",30
"STARR_016_force7000","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force7000/outs/molecule_info.h5","STARR_016",31
"STARR_016_force7364","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force7364/outs/molecule_info.h5","STARR_016",249
"STARR_024_2nd","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_024_2nd/outs/molecule_info.h5","STARR_024",42
"STARR_024","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024/outs/molecule_info.h5","STARR_024",75
"STARR_024_combine","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine/outs/molecule_info.h5","STARR_024",76
"STARR_024_combine_force8000","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine_force8000/outs/molecule_info.h5","STARR_024",162
"STARR_024_combine_force9768","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine_force9768/outs/molecule_info.h5","STARR_024",231
"STARR_026","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_026/outs/molecule_info.h5","STARR_026",41
"STARR_026_combine_force9000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force9000/outs/molecule_info.h5","STARR_026",174
"STARR_026_combine_force8000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8000/outs/molecule_info.h5","STARR_026",175
"STARR_026_2nd","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_2nd/outs/molecule_info.h5","STARR_026",130
"STARR_026_combine","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine/outs/molecule_info.h5","STARR_026",155
"STARR_026_combine_force7500","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force7500/outs/molecule_info.h5","STARR_026",213
"STARR_026_combine_force7000","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force7000/outs/molecule_info.h5","STARR_026",164
"STARR_026_combine_force8966","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8966/outs/molecule_info.h5","STARR_026",247
"STARR_028_force5789","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028_force5789/outs/molecule_info.h5","STARR_028",250
"STARR_028_force2000","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028_force2000/outs/molecule_info.h5","STARR_028",89
"STARR_028","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028/outs/molecule_info.h5","STARR_028",44
"STARR_031_force2000","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2000/outs/molecule_info.h5","STARR_031",98
"STARR_031","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031/outs/molecule_info.h5","STARR_031",43
"STARR_031_force2600","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2600/outs/molecule_info.h5","STARR_031",96
"STARR_032_force2000","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2000/outs/molecule_info.h5","STARR_032",97
"STARR_032_force3797","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force3797/outs/molecule_info.h5","STARR_032",248
"STARR_032","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032/outs/molecule_info.h5","STARR_032",45
"STARR_032_force2500","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2500/outs/molecule_info.h5","STARR_032",95
"STARR_039_force1500","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force1500/outs/molecule_info.h5","STARR_039",99
"STARR_039_force5023","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force5023/outs/molecule_info.h5","STARR_039",251
"STARR_039","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039/outs/molecule_info.h5","STARR_039",64
"STARR_039_force2000","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force2000/outs/molecule_info.h5","STARR_039",92
"STARR_041","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_041/outs/molecule_info.h5","STARR_041",65
"STARR_041_combine_force","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine_force/outs/molecule_info.h5","STARR_041",79
"STARR_041_2nd","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_2nd/outs/molecule_info.h5","STARR_041",77
"STARR_041_combine","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine/outs/molecule_info.h5","STARR_041",78
"STARR_041_3rd","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_3rd/outs/molecule_info.h5","STARR_041",131
"STARR_041_combine3","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3/outs/molecule_info.h5","STARR_041",156
